Date,Plant,Count
10/5/2020,Annacis Island,3373
17/5/2020,Annacis Island,0
24/5/2020,Annacis Island,0
31/5/2020,Annacis Island,2182
7/6/2020,Annacis Island,0
14/6/2020,Annacis Island,0
21/6/2020,Annacis Island,0
28/6/2020,Annacis Island,0
5/7/2020,Annacis Island,0
12/7/2020,Annacis Island,3926
19/7/2020,Annacis Island,0
26/7/2020,Annacis Island,3160
2/8/2020,Annacis Island,4091
9/8/2020,Annacis Island,7767
16/8/2020,Annacis Island,5659
23/8/2020,Annacis Island,3017
30/8/2020,Annacis Island,3585
7/9/2020,Annacis Island,3252
13/9/2020,Annacis Island,4426
20/9/2020,Annacis Island,3829
27/9/2020,Annacis Island,3101
4/10/2020,Annacis Island,2508
11/10/2020,Annacis Island,6142
18/10/2020,Annacis Island,7106
25/10/2020,Annacis Island,12561
1/11/2020,Annacis Island,17859
8/11/2020,Annacis Island,23519
15/11/2020,Annacis Island,23662
22/11/2020,Annacis Island,20733
29/11/2020,Annacis Island,18325
6/12/2020,Annacis Island,20286
13/12/2020,Annacis Island,25598
20/12/2020,Annacis Island,0
27/12/2020,Annacis Island,0
3/1/2021,Annacis Island,0
10/1/2021,Annacis Island,14583
17/1/2021,Annacis Island,12595
24/1/2021,Annacis Island,28392
31/1/2021,Annacis Island,49940
7/2/2021,Annacis Island,15950
14/2/2021,Annacis Island,39360
21/2/2021,Annacis Island,42230
28/2/2021,Annacis Island,46390
7/3/2021,Annacis Island,42705
14/3/2021,Annacis Island,66633
21/3/2021,Annacis Island,66850
28/3/2021,Annacis Island,66453
4/4/2021,Annacis Island,179852
11/4/2021,Annacis Island,82631
18/4/2021,Annacis Island,106081
25/4/2021,Annacis Island,104814
2/5/2021,Annacis Island,64992
9/5/2021,Annacis Island,50563
16/5/2021,Annacis Island,51820
23/5/2021,Annacis Island,35293
30/5/2021,Annacis Island,16364
6/6/2021,Annacis Island,13907
13/6/2021,Annacis Island,11610
20/6/2021,Annacis Island,5115
27/6/2021,Annacis Island,2642
4/7/2021,Annacis Island,2365
11/7/2021,Annacis Island,2730
18/7/2021,Annacis Island,1633
25/7/2021,Annacis Island,7442
1/8/2021,Annacis Island,10440
8/8/2021,Annacis Island,23191
15/8/2021,Annacis Island,50003
27/9/2020,Iona Island,7704
4/10/2020,Iona Island,5606
11/10/2020,Iona Island,3723
18/10/2020,Iona Island,3576
25/10/2020,Iona Island,5086
1/11/2020,Iona Island,4555
8/11/2020,Iona Island,5157
15/11/2020,Iona Island,2360
22/11/2020,Iona Island,8797
29/11/2020,Iona Island,7145
6/12/2020,Iona Island,7818
13/12/2020,Iona Island,2032
20/12/2020,Iona Island,0
27/12/2020,Iona Island,0
3/1/2021,Iona Island,0
10/1/2021,Iona Island,22210
17/1/2021,Iona Island,3478
24/1/2021,Iona Island,12961
31/1/2021,Iona Island,15304
7/2/2021,Iona Island,11428
14/2/2021,Iona Island,8790
21/2/2021,Iona Island,28490
28/2/2021,Iona Island,29920
7/3/2021,Iona Island,20900
14/3/2021,Iona Island,19306
21/3/2021,Iona Island,33471
28/3/2021,Iona Island,38812
4/4/2021,Iona Island,77938
11/4/2021,Iona Island,46613
18/4/2021,Iona Island,68487
25/4/2021,Iona Island,44483
2/5/2021,Iona Island,22800
9/5/2021,Iona Island,23188
16/5/2021,Iona Island,26690
23/5/2021,Iona Island,20193
30/5/2021,Iona Island,6956
6/6/2021,Iona Island,7697
13/6/2021,Iona Island,5502
20/6/2021,Iona Island,10620
27/6/2021,Iona Island,1236
4/7/2021,Iona Island,4479
11/7/2021,Iona Island,1240
18/7/2021,Iona Island,0
25/7/2021,Iona Island,4424
1/8/2021,Iona Island,11560
8/8/2021,Iona Island,9960
15/8/2021,Iona Island,32330
27/9/2020,Lions Gate,946
4/10/2020,Lions Gate,1216
11/10/2020,Lions Gate,4612
18/10/2020,Lions Gate,3507
25/10/2020,Lions Gate,0
1/11/2020,Lions Gate,0
8/11/2020,Lions Gate,2892
15/11/2020,Lions Gate,0
22/11/2020,Lions Gate,923
29/11/2020,Lions Gate,3162
6/12/2020,Lions Gate,2140
13/12/2020,Lions Gate,4314
20/12/2020,Lions Gate,0
27/12/2020,Lions Gate,0
3/1/2021,Lions Gate,0
10/1/2021,Lions Gate,5448
17/1/2021,Lions Gate,2919
24/1/2021,Lions Gate,4840
31/1/2021,Lions Gate,5357
7/2/2021,Lions Gate,7094
14/2/2021,Lions Gate,5505
21/2/2021,Lions Gate,4822
28/2/2021,Lions Gate,6639
7/3/2021,Lions Gate,7974
14/3/2021,Lions Gate,3567
21/3/2021,Lions Gate,20831
28/3/2021,Lions Gate,18234
4/4/2021,Lions Gate,20833
11/4/2021,Lions Gate,24755
18/4/2021,Lions Gate,14854
25/4/2021,Lions Gate,8913
2/5/2021,Lions Gate,7372
9/5/2021,Lions Gate,13098
16/5/2021,Lions Gate,4026
23/5/2021,Lions Gate,2864
30/5/2021,Lions Gate,3779
6/6/2021,Lions Gate,4057
13/6/2021,Lions Gate,3926
20/6/2021,Lions Gate,1805
27/6/2021,Lions Gate,1138
4/7/2021,Lions Gate,1239
11/7/2021,Lions Gate,1920
18/7/2021,Lions Gate,2688
25/7/2021,Lions Gate,2881
1/8/2021,Lions Gate,5606
8/8/2021,Lions Gate,3434
15/8/2021,Lions Gate,10064
27/9/2020,Lulu Island,5225
4/10/2020,Lulu Island,1841
11/10/2020,Lulu Island,7588
18/10/2020,Lulu Island,1440
25/10/2020,Lulu Island,2500
1/11/2020,Lulu Island,4579
8/11/2020,Lulu Island,6813
15/11/2020,Lulu Island,5512
22/11/2020,Lulu Island,18201
29/11/2020,Lulu Island,2752
6/12/2020,Lulu Island,7216
13/12/2020,Lulu Island,19234
20/12/2020,Lulu Island,0
27/12/2020,Lulu Island,0
3/1/2021,Lulu Island,0
10/1/2021,Lulu Island,2605
17/1/2021,Lulu Island,16844
24/1/2021,Lulu Island,8054
31/1/2021,Lulu Island,8460
7/2/2021,Lulu Island,13370
14/2/2021,Lulu Island,14750
21/2/2021,Lulu Island,20490
28/2/2021,Lulu Island,24240
7/3/2021,Lulu Island,24758
14/3/2021,Lulu Island,39354
21/3/2021,Lulu Island,66956
28/3/2021,Lulu Island,41414
4/4/2021,Lulu Island,94704
11/4/2021,Lulu Island,69708
18/4/2021,Lulu Island,79483
25/4/2021,Lulu Island,124528
2/5/2021,Lulu Island,51496
9/5/2021,Lulu Island,43594
16/5/2021,Lulu Island,24196
23/5/2021,Lulu Island,5869
30/5/2021,Lulu Island,4775
6/6/2021,Lulu Island,3414
13/6/2021,Lulu Island,4658
20/6/2021,Lulu Island,2943
27/6/2021,Lulu Island,3884
4/7/2021,Lulu Island,5506
11/7/2021,Lulu Island,2290
18/7/2021,Lulu Island,8489
25/7/2021,Lulu Island,14182
1/8/2021,Lulu Island,8549
8/8/2021,Lulu Island,11016
15/8/2021,Lulu Island,15205
27/9/2020,Northwest Langley,0
4/10/2020,Northwest Langley,0
11/10/2020,Northwest Langley,1516
18/10/2020,Northwest Langley,2725
25/10/2020,Northwest Langley,5328
1/11/2020,Northwest Langley,19158
8/11/2020,Northwest Langley,2818
15/11/2020,Northwest Langley,10255
22/11/2020,Northwest Langley,15283
29/11/2020,Northwest Langley,4289
6/12/2020,Northwest Langley,0
13/12/2020,Northwest Langley,22985
20/12/2020,Northwest Langley,0
27/12/2020,Northwest Langley,0
3/1/2021,Northwest Langley,0
10/1/2021,Northwest Langley,3511
17/1/2021,Northwest Langley,8476
24/1/2021,Northwest Langley,10691
31/1/2021,Northwest Langley,3398
7/2/2021,Northwest Langley,3273
14/2/2021,Northwest Langley,8862
21/2/2021,Northwest Langley,14493
28/2/2021,Northwest Langley,27309
7/3/2021,Northwest Langley,4894
14/3/2021,Northwest Langley,33661
21/3/2021,Northwest Langley,16463
28/3/2021,Northwest Langley,30488
4/4/2021,Northwest Langley,27436
11/4/2021,Northwest Langley,31974
18/4/2021,Northwest Langley,27504
25/4/2021,Northwest Langley,30784
2/5/2021,Northwest Langley,31739
9/5/2021,Northwest Langley,9401
16/5/2021,Northwest Langley,11240
23/5/2021,Northwest Langley,7247
30/5/2021,Northwest Langley,5277
6/6/2021,Northwest Langley,6624
13/6/2021,Northwest Langley,1917
20/6/2021,Northwest Langley,2738
27/6/2021,Northwest Langley,0
4/7/2021,Northwest Langley,0
11/7/2021,Northwest Langley,0
18/7/2021,Northwest Langley,1104
25/7/2021,Northwest Langley,0
1/8/2021,Northwest Langley,15216
8/8/2021,Northwest Langley,27756
10/8/2021,Northwest Langley,6544
12/8/2021,Northwest Langley,7739
15/8/2021,Northwest Langley,17053
17/8/2021,Northwest Langley,7475