Date,New cases,Cumulative cases,Cumulative Vancouver Coastal,Cumulative Fraser Health,Cumulative Island Health ,Cumulative Interior Health,Cumulative Northern Health,Hospitalization (Currently in hospital),ICU (Currently in ICU),Recovered,Deaths,Cumulative deaths,Active cases
2020-01-28,1,1,1,0,0,0,0,,,,0,0,1
2020-02-04,1,2,2,0,0,0,0,,,,0,0,2
2020-02-06,2,4,4,0,0,0,0,,,,0,0,4
2020-02-14,1,5,4,0,0,1,0,,,,0,0,5
2020-02-20,1,6,4,1,0,1,0,,,,0,0,6
2020-02-24,1,7,4,2,0,1,0,,,,0,0,7
2020-03-03,5,12,8,3,0,1,0,,,,0,0,12
2020-03-04,1,13,9,3,0,1,0,,,,0,0,13
2020-03-05,8,21,15,5,0,1,0,,,,0,0,21
2020-03-06,0,21,15,5,0,1,0,,,,0,0,21
2020-03-07,6,27,17,9,0,1,0,,,,0,0,27
2020-03-08,,,,,,,,,,,,,
2020-03-09,5,32,19,12,0,1,0,,,,1,1,31
2020-03-10,7,39,24,14,0,1,0,,,,0,1,38
2020-03-11,7,46,26,18,1,1,0,,,,0,1,45
2020-03-12,7,53,32,19,1,1,0,,,,0,1,52
2020-03-13,11,64,43,19,1,1,0,,,,0,1,63
2020-03-14,9,73,50,20,1,2,0,,,,0,1,72
2020-03-15,,,,,,,,,,,,,
2020-03-16,30,103,,,,,,6,,,3,4,
2020-03-17,83,186,116,47,12,7,4,,,,3,7,
2020-03-18,45,231,144,58,16,9,4,13,7,,0,7,
2020-03-19,40,271,152,81,22,12,4,17,9,5,1,8,258
2020-03-20,77,348,200,95,30,19,4,22,10,6,1,9,333
2020-03-21,76,424,230,126,37,27,4,27,12,6,1,10,408
2020-03-22,,,,,,,,,,,,,
2020-03-23,48,472,248,150,39,30,5,33,14,100,3,13,359
2020-03-24,145,617,330,194,44,41,8,59,23,173,0,13,431
2020-03-25,42,659,339,218,47,46,9,64,26,183,1,14,462
2020-03-26,66,725,359,241,52,62,11,66,26,186,0,14,525
2020-03-27,67,792,391,262,57,70,12,73,,275,2,16,501
2020-03-28,92,884,444,291,60,77,12,81,52,396,1,17,471
2020-03-29,16,900,,,,,,,,,,,
2020-03-30,70,970,472,323,67,94,14,106,60,469,2,19,482
2020-03-31,43,1013,476,348,67,107,15,128,61,507,5,24,482
2020-04-01,53,1066,497,367,72,114,16,142,67,606,1,25,435
2020-04-02,55,1121,525,386,72,121,17,149,68,641,6,31,449
2020-04-03,53,1174,541,412,74,126,21,146,64,673,4,35,466
2020-04-04,29,1203,,,,,,149,68,704,3,38,461
2020-04-05,26,1229,,,,,,137,,,,,
2020-04-06,37,1266,586,450,79,128,23,140,72,783,1,39,444
2020-04-07,25,1291,603,458,79,128,23,138,66,805,4,43,443
2020-04-08,45,1336,615,487,81,130,23,135,61,838,5,48,450
2020-04-09,34,1370,626,508,82,130,24,132,68,858,2,50,462
2020-04-10,40,1410,629,539,84,132,26,128,65,879,5,55,476
2020-04-11,35,1445,642,558,84,135,26,134,63,905,3,58,482
2020-04-12,25,1470,,,,,,,,,,,
2020-04-13,20,1490,650,591,87,136,26,137,58,926,11,69,495
2020-04-14,27,1517,658,601,89,141,28,134,58,942,3,72,503
2020-04-15,44,1561,670,623,92,146,30,131,59,955,3,75,531
2020-04-16,14,1575,670,630,94,149,32,120,56,983,2,77,515
2020-04-17,43,1618,,,,,,119,52,966,0,78,574
2020-04-18,29,1647,686,680,97,150,34,115,54,984,3,81,582
2020-04-19,29,2956,,,,,,,,,3,84,
2020-04-20,23,2927,700,705,102,153,39,104,49,1039,2,86,1802
2020-04-21,25,2904,707,715,109,153,40,109,51,1041,1,87,1776
2020-04-22,71,2879,745,747,110,153,40,103,46,1079,3,90,1710
2020-04-23,29,2808,755,760,111,156,42,103,44,1092,4,94,1622
2020-04-24,29,2779,767,772,114,158,42,96,41,1114,4,98,1567
2020-04-25,95,2750,778,853,115,160,42,96,41,1137,2,100,1513
2020-04-26,39,2655,,,,,,,,,,,
2020-04-27,11,2616,795,879,117,164,43,97,36,1190,3,103,1323
2020-04-28,55,2605,803,918,119,168,45,94,37,1231,2,105,1269
2020-04-29,34,2550,811,941,120,169,46,89,35,1305,4,109,1136
2020-04-30,25,2516,815,961,120,170,46,82,30,1322,2,111,1083
2020-05-01,33,2491,823,978,121,174,49,79,24,1357,1,112,1022
2020-05-02,26,2458,832,992,123,175,49,72,23,1376,2,114,968
2020-05-03,34,2432,,,,,,,,,,,
2020-05-04,19,2398,845,1027,124,177,51,77,20,1417,3,117,864
2020-05-05,8,2379,849,1031,124,177,51,78,21,1472,4,121,786
2020-05-06,23,2371,852,1046,124,179,54,74,19,1494,3,124,753
2020-05-07,33,2348,865,1064,126,179,54,76,20,1512,2,126,710
2020-05-08,29,2315,866,1089,125,180,55,73,20,1579,1,127,609
2020-05-09,15,2453,,,,,,69,21,1659,2,129,665
2020-05-10,9,2438,,,,,,,,,,129,
2020-05-11,14,2429,873,1118,125,180,57,66,18,1719,1,130,580
2020-05-12,7,2415,874,1124,125,180,57,63,16,1832,1,131,452
2020-05-13,16,2408,877,1137,125,180,57,59,14,1859,1,132,417
2020-05-14,15,2392,878,1149,126,181,58,58,12,1885,3,135,372
2020-05-15,15,2594,878,1164,126,181,58,51,12,1908,5,138,548
2020-05-16,21,2579,878,1184,126,181,59,49,11,1932,1,141,506
2020-05-17,8,2558,,,,,,,,,,,
2020-05-18,8,2550,882,1195,126,181,60,47,12,1966,2,143,441
2020-05-19,2,2542,883,1196,126,181,60,45,12,1975,3,146,421
2020-05-20,21,2540,885,1214,126,182,60,43,10,2001,3,149,390
2020-05-21,12,2519,887,1223,126,183,60,43,8,2020,3,152,347
2020-05-22,18,2507,888,1236,127,194,62,41,8,2042,3,155,310
2020-05-23,10,2545,890,1244,127,194,62,39,8,2057,2,157,331
2020-05-24,5,2535,,,,,,,,,,,
2020-05-25,7,2530,894,1253,127,194,62,37,7,2102,4,161,267
2020-05-26,11,2541,897,1261,127,194,62,37,7,2122,0,161,258
2020-05-27,9,2550,899,1267,127,194,63,37,7,2144,1,162,244
2020-05-28,9,2559,899,1274,127,195,63,33,6,2153,2,164,242
2020-05-29,4,2563,900,1277,127,195,63,34,6,2170,0,164,228
2020-05-30,11,2573,902,1285,127,195,64,35,5,2181,0,164,228
2020-05-31,9,2582,,,,,,,,,,,
2020-06-01,15,2597,904,1307,127,195,64,32,5,2207,1,165,225
2020-06-02,4,2601,904,1311,127,195,64,31,8,2229,0,165,207
2020-06-03,22,2623,905,1332,127,195,64,32,7,2243,1,166,214
2020-06-04,5,2629,909,1334,130,195,64,26,6,2265,0,166,198
2020-06-05,1,2630,908,1335,130,195,64,21,5,2272,1,167,191
2020-06-06,14,,,,,,,,,,,,
2020-06-07,6,,,,,,,,,,,,
2020-06-08,9,2659,907,1362,130,195,64,16,4,2309,0,167,183
2020-06-09,10,2669,908,1370,130,195,66,15,4,2319,0,167,183
2020-06-10,12,2680,911,1378,130,195,66,12,4,2328,0,167,185
2020-06-11,14,2694,917,1386,130,195,66,13,5,2344,0,167,183
2020-06-12,16,2709,922,1396,130,195,65,12,3,2354,1,168,187
2020-06-13,14,,,,,,,,,,,,
2020-06-14,16,,,,,,,,,,,,
2020-06-15,6,2745,934,1420,130,195,65,13,4,2395,0,168,182
2020-06-16,11,2756,940,1425,130,196,65,11,5,2416,0,168,172
2020-06-17,19,2775,946,1438,130,196,65,11,5,2422,0,168,185
2020-06-18,8,2783,950,1441,130,197,65,10,5,2425,0,168,190
2020-06-19,7,2790,952,1446,130,197,65,11,6,2444,0,168,178
2020-06-20,10,,,,,,,,,,,,
2020-06-21,6,,,,,,,,,,,,
2020-06-22,16,2822,954,1474,131,198,65,14,6,2471,1,169,182
2020-06-23,13,2835,,,,,,16,7,2491,1,170,174
2020-06-24,14,2849,963,1491,131,199,65,14,7,2516,1,171,162
2020-06-25,19,2869,970,1504,131,199,65,15,7,2517,2,173,179
2020-06-26,10,2878,969,1514,131,199,65,17,5,2545,1,174,159
2020-06-27,10,,,,,,,,,,,,
2020-06-28,14,,,,,,,,,,,,
2020-06-29,2,2904,979,1529,131,200,65,18,5,2577,0,174,153
2020-06-30,12,2916,981,1538,131,201,65,18,4,2590,0,174,152
2020-07-01,15,2931,,,,,,,,,,,
2020-07-02,9,2940,989,1553,132,201,65,17,2,2603,3,177,160
2020-07-03,13,2947,995,1553,132,202,65,19,2,2608,0,177,162
2020-07-04,9,,,,,,,,,,,,
2020-07-05,15,,,,,,,,,,,,
2020-07-06,7,2978,1008,1570,132,203,65,16,4,2629,6,183,166
2020-07-07,12,2990,1013,1576,133,203,65,16,4,2645,0,183,162
2020-07-08,18,3008,1018,1589,133,203,65,17,3,2660,3,186,162
2020-07-09,20,3028,982,1596,133,201,65,17,4,2667,0,186,175
2020-07-10,25,3053,990,1610,135,202,65,16,5,2679,1,187,187
2020-07-11,22,3077,,,,,,,,,,,
2020-07-12,20,3097,,,,,,,,,,,
2020-07-13,11,3115,,,,,,,,,,,
2020-07-14,13,3128,1015,1649,135,212,65,14,5,2730,0,189,209
2020-07-15,21,3149,1023,1659,135,216,65,14,5,2753,0,189,207
2020-07-16,21,3170,1028,1667,136,223,65,15,3,2789,0,189,192
2020-07-17,28,3198,1032,1676,136,235,68,18,2,2802,0,189,207
2020-07-18,51,,,,,,,,,,,,
2020-07-19,19,,,,,,,,,,,,
2020-07-20,32,3300,1042,1713,142,280,69,16,4,2858,0,189,253
2020-07-21,30,3328,1049,1742,141,304,69,15,3,2888,0,189,251
2020-07-22,34,3362,1051,1750,142,315,77,16,3,2898,1,190,274
2020-07-23,30,3392,,,,,,,,,,,
2020-07-24,27,3419,1057,1764,142,319,79,12,3,2934,1,191,294
2020-07-25,36,,,,,,,,,,,,
2020-07-26,21,,,,,,,,,,,,
2020-07-27,24,3500,1064,1800,143,353,80,11,3,3043,2,193,264
2020-07-28,23,3523,1067,1815,143,358,80,9,3,3076,1,194,253
2020-07-29,41,3562,1071,1846,143,356,86,6,2,3109,0,194,259
2020-07-30,29,3591,1076,1865,143,360,86,5,2,3155,0,194,242
2020-07-31,50,3641,1088,1889,144,369,88,5,2,3168,1,195,278
2020-08-01,43,,,,,,,,,,0,,
2020-08-02,29,,,,,,,,,,0,,
2020-08-03,46,,,,,,,,,,0,,
2020-08-04,28,3787,1119,1989,146,377,91,8,4,3273,0,195,319
2020-08-05,47,3834,1132,2015,146,384,91,9,6,3288,0,195,351
2020-08-06,47,3881,1143,2045,146,385,93,11,5,3315,0,195,371
2020-08-07,53,3934,1167,2069,147,389,93,11,4,3353,0,195,386
2020-08-08,50,,,,,,,,,,,,
2020-08-09,37,,,,,,,,,,,,
2020-08-10,44,4065,1220,2139,148,391,96,9,3,3425,0,195,445
2020-08-11,46,4111,1232,2167,148,393,100,8,5,3444,0,195,472
2020-08-12,85,4196,1273,2203,150,394,104,8,5,3469,1,196,531
2020-08-13,78,4274,1306,2242,150,398,106,9,4,3500,0,196,578
2020-08-14,84,4358,1354,2276,150,399,107,12,4,3533,0,196,629
2020-08-15,100,,,,,,,,,,,,
2020-08-16,88,,,,,,,,,,,,
2020-08-17,48,4594,1419,2425,154,405,117,4,3,3653,2,198,743
2020-08-18,83,4677,1447,2473,156,407,120,6,3,3704,0,198,775
2020-08-19,68,4745,1488,2493,158,411,120,10,4,3749,0,198,798
2020-08-20,80,4825,1526,2533,159,411,121,11,4,3845,2,200,780
2020-08-21,90,4915,1569,2572,160,417,122,13,5,3889,2,202,824
2020-08-22,109,,,,,,,,,,,,
2020-08-23,81,,,,,,,,,,,,
2020-08-24,79,5184,1651,2739,166,425,127,18,5,4068,1,203,913
2020-08-25,58,5242,1683,2762,168,425,128,22,7,4114,0,203,921
2020-08-26,62,5304,1699,2795,170,429,133,21,7,4199,0,203,896
2020-08-27,68,5372,1737,2818,173,429,137,22,7,4253,1,204,906
2020-08-28,124,5496,1791,2878,174,433,142,23,7,4310,0,204,974
2020-08-29,86,,,,,,,,,,,,
2020-08-30,107,,,,,,,,,,,,
2020-08-31,101,5790,1900,3042,175,440,154,28,10,4406,4,208,1107
2020-09-01,58,5848,1922,3072,175,440,160,31,10,4505,1,209,1124
2020-09-02,104,5952,1974,3112,178,445,164,33,14,4605,0,209,1127
2020-09-03,89,6041,2012,3155,178,450,167,34,11,4644,1,210,1175
2020-09-04,121,6162,2077,3201,180,451,174,31,12,4706,1,211,1233
2020-09-05,123,,,,,,,,,,,,
2020-09-06,116,,,,,,,,,,,,
2020-09-07,107,,,,,,,,,,,,
2020-09-08,83,6591,2249,3428,184,460,186,32,12,4978,2,213,1386
2020-09-09,100,6691,2285,3482,185,462,193,37,15,5086,0,213,1378
2020-09-10,139,6830,2343,3551,187,462,203,42,14,5190,0,213,1412
2020-09-11,132,6962,2419,3600,190,465,204,49,10,5273,0,213,1461
2020-09-12,137,,,,,,,,,,,,
2020-09-13,119,,,,,,,,,,,,
2020-09-14,61,7279,2557,3754,195,473,216,58,16,5546,6,219,1594
2020-09-15,97,7376,2608,3784,195,479,225,63,20,5548,0,219,1590
2020-09-16,122,7498,2660,3835,195,485,237,60,23,5646,0,219,1614
2020-09-17,165,7663,2714,3937,196,489,241,57,22,5719,1,220,1705
2020-09-18,179,7842,2817,4007,196,492,244,59,20,5797,3,223,1803
2020-09-19,121,,,,,,,,,,,,
2020-09-20,117,,,,,,,,,,,,
2020-09-21,128,8208,2945,4211,203,508,255,60,21,5972,4,227,1987
2020-09-22,96,8304,2984,4254,203,511,266,61,22,6589,0,227,1465
2020-09-23,91,8395,3016,4302,203,515,273,62,18,6769,0,227,1376
2020-09-24,148,8543,3094,4361,203,520,278,61,20,6917,2,229,1371
2020-09-25,98,8641,3127,4412,204,522,289,62,19,7036,1,230,1349
2020-09-26,68,,,,,,,,,,,,
2020-09-27,125,,,,,,,,,,,,
2020-09-28,74,8908,3226,4555,206,531,303,69,22,7346,3,233,1302
2020-09-29,105,9013,3286,4594,206,531,309,69,20,7485,1,234,1268
2020-09-30,125,9138,3340,4658,208,533,312,72,21,7591,0,234,1284
2020-10-01,82,9220,3360,4712,209,535,317,69,19,7695,1,235,1261
2020-10-02,161,9381,3440,4791,209,535,318,63,16,7813,3,238,1302
2020-10-03,130,,,,,,,,,,,,
2020-10-04,108,,,,,,,,,,,,
2020-10-05,120,9739,3580,4980,220,548,322,66,16,8115,4,242,1353
2020-10-06,102,9841,3612,5038,221,556,324,71,16,8184,2,244,1384
2020-10-07,115,9956,3644,5119,222,557,325,72,15,8296,0,244,1387
2020-10-08,110,10066,3693,5174,223,557,330,76,17,8398,1,245,1394
2020-10-09,119,10185,3728,5253,225,559,331,68,19,8502,0,245,1406
2020-10-10,170,,,,,,,,,,,,
2020-10-11,159,,,,,,,,,,,,
2020-10-12,119,,,,,,,,,,,,
2020-10-13,101,10734,3892,5595,235,582,341,77,24,8974,5,250,1476
2020-10-14,158,10892,3941,5697,237,585,343,84,24,9112,0,250,1496
2020-10-15,142,11034,3974,5800,239,587,345,74,24,9257,0,250,1494
2020-10-16,155,11189,4036,5884,240,590,350,72,26,9387,1,251,1513
2020-10-17,172,,,,,,,,,,,,
2020-10-18,153,,,,,,,,,,,,
2020-10-19,174,11687,4146,6244,243,611,355,67,19,9753,2,253,1639
2020-10-20,167,11854,4175,6366,244,624,357,69,18,9871,1,254,1688
2020-10-21,203,12057,4215,6517,244,632,361,70,21,9993,2,256,1766
2020-10-22,274,12331,4260,6725,249,644,365,71,24,10114,0,256,1920
2020-10-23,223,12554,4319,6864,250,662,371,75,24,10247,0,256,2009
2020-10-24,317,,,,,,,,,,,,
2020-10-25,293,,,,,,,,,,,,
2020-10-26,207,13371,4428,7529,250,693,383,77,26,10734,3,259,2325
2020-10-27,217,13588,4476,7674,250,717,383,84,27,10954,0,259,2322
2020-10-28,287,13875,4545,7863,253,727,399,83,25,11244,2,261,2316
2020-10-29,234,14109,4588,8036,256,734,406,86,24,11448,1,262,2344
2020-10-30,272,14381,4664,8219,256,741,412,78,25,11670,1,263,2390
2020-10-31,352,,,,,,,,,,,,
2020-11-01,389,,,,,,,,,,,,
2020-11-02,379,15501,4898,9049,265,777,422,90,19,12207,6,269,2945
2020-11-03,299,15800,4993,9234,270,788,425,92,22,12430,3,272,3017
2020-11-04,335,16135,5097,9439,274,803,432,92,25,12659,1,273,3120
2020-11-05,425,16560,5223,9707,281,821,438,97,24,12806,0,273,3389
2020-11-06,589,17149,5369,10109,286,845,450,104,28,13035,2,275,3741
2020-11-07,567,17716,5491,10520,289,867,459,100,31,,1,276,
2020-11-08,536,,,,,,,,,,,,
2020-11-09,462,18714,5699,11257,301,898,469,133,43,13425,5,281,4891
2020-11-10,525,19239,5858,11582,308,925,476,142,46,13604,3,284,5133
2020-11-11,536,,,,,,,,,,,,
2020-11-12,594,20368,6107,12390,324,925,499,155,44,14089,4,288,5793
2020-11-13,617,20985,6237,12814,340,1001,504,167,50,14901,2,290,5579
2020-11-14,654,,,,,,,,,,,,
2020-11-15,659,,,,,,,,,,,,
2020-11-16,646,22944,6692,14175,381,1088,518,181,57,16087,9,299,6729
2020-11-17,717,,6869,14659,397,1106,539,198,63,,11,310,6589
2020-11-18,762,24422,7079,15140,417,1144,552,209,58,16914,10,320,6861
2020-11-19,536,24958,7256,15448,429,1172,563,217,59,17206,1,321,6926
2020-11-20,516,25474,7404,15742,446,1203,588,227,57,17477,10,331,7122
2020-11-21,713,,,,,,,,,,,,
2020-11-22,626,,,,,,,,,,,,
2020-11-23,594,27407,7818,17046,494,1307,649,277,58,19069,17,348,7360
2020-11-24,695,28348,7992,17478,505,1356,678,284,61,19605,10,358,7732
2020-11-25,738,29086,8161,18167,526,1526,713,294,61,,13,371,7816
2020-11-26,887,29973,8329,18779,544,1491,737,294,64,19998,13,384,7899
2020-11-27,911,30884,8482,19428,571,1538,772,301,69,21304,11,395,8472
2020-11-28,750,,,,,,,,,,,,
2020-11-29,731,,,,,,,,,,,,
2020-11-30,596,33238,8850,21070,629,1750,845,316,75,23111,46,441,8855
2020-12-01,656,33894,8990,21478,639,1833,860,336,76,23774,16,457,8796
2020-12-02,834,34728,9164,22007,659,1899,905,337,79,24424,12,469,8941
2020-12-03,694,35422,9278,22472,669,1981,928,325,80,24928,12,481,9103
2020-12-04,711,36132,9421,22899,679,2062,978,338,76,25658,11,492,9050
2020-12-05,647,,,,,,,,,,,,
2020-12-06,726,,,,,,,,,,,,
2020-12-07,647,38152,9725,24261,724,2265,1084,349,77,27287,35,527,9380
2020-12-08,566,38718,9861,24558,735,2339,1132,352,74,27897,16,543,9315
2020-12-09,619,39337,9982,24942,740,2420,1159,338,76,28448,16,559,9329
2020-12-10,723,40060,10117,25398,750,2502,1199,346,75,28948,28,587,9524
2020-12-11,737,40797,10236,25867,758,2601,1240,342,87,29598,11,598,9589
2020-12-12,698,,,,,,,,,,,,
2020-12-13,689,,,,,,,,,,,,
